text,label
complete the online assessment before 25 june,oa
you are invited for technical interview,interview
we regret to inform you,rejected
congratulations we are pleased to offer you the role,offered
fill the google form before deadline,applied
your application has been received,applied
please attend interview on zoom link,interview
coding test link hackerrank,oa
thank you for applying to our company,applied
unfortunately we cannot move forward,rejected
offer letter attached,offered
complete the amcat test,oa
interview scheduled on monday,interview
your profile shortlisted,interview
assessment deadline 20 july,oa
not selected for this role,rejected
pleased to offer position,offered
submit application form before 30 june,applied
online test link shared,oa
interview invitation for sde role,interview
application submitted successfully,applied
regret to inform rejection,rejected
job offer for software engineer,offered
complete assessment within 3 days,oa
interview scheduled tomorrow,interview
thank you for showing interest,applied
position has been filled,rejected
offer of employment attached,offered
technical assessment link,oa
hr interview scheduled,interview
application received confirmation,applied
not shortlisted for interview,rejected
welcome to the team offer letter,offered
online coding round link,oa
schedule your interview slot,interview
application submitted successfully thank you,applied
we will not be moving forward,rejected
offer letter shared via email,offered
assessment round begins today,oa
virtual interview invitation,interview
your application is under review,applied
we regret to inform not selected,rejected
pleased to confirm your offer,offered
complete coding challenge,oa
technical interview invitation,interview
thank you for applying internship,applied
not selected after interview,rejected
offer letter pdf attached,offered
online aptitude test link,oa
interview invitation tomorrow,interview
application received thank you,applied
rejection mail for application,rejected
offer confirmed congratulations,offered
assessment link available now,oa
zoom interview meeting link,interview
application successfully submitted,applied
we regret your application unsuccessful,rejected
offer of position accepted,offered
online test link deadline friday,oa
interview scheduled 3pm,interview
application form submitted,applied
position closed rejection,rejected
offer email congratulations,offered
complete online mcq assessment,oa
technical interview tomorrow,interview
thank you for submitting application,applied
rejection email unfortunately,rejected
job offer letter attached,offered
online test invitation link,oa
interview confirmation mail,interview
application recorded successfully,applied
profile rejected,rejected
offer details attached,offered
coding test invitation link,oa
interview slot confirmation,interview
application acknowledgement mail,applied
not moving forward with application,rejected
offer mail welcome,offered
assessment invitation mail,oa
interview link shared,interview
application confirmation email,applied
regret to inform application rejected,rejected
offer confirmed via mail,offered
assessment test invitation,oa
interview scheduled next week,interview
application received successfully,applied
candidate not selected,rejected
offer letter confirmation,offered
online coding exam link,oa
interview zoom invite,interview
application acknowledgement received,applied
application rejected mail,rejected
offer acceptance email,offered
technical assessment invitation,oa
interview google meet invite,interview
application thank you message,applied
not selected email,rejected
offer notification mail,offered
aptitude assessment link,oa
interview invitation mail,interview